# Class blue_S1 green_S1 red_S1 nir_S1 swir_1_S1 swir_2_S1 red_edge_1_S1 red_edge_2_S1 red_edge_3_S1 bcdev_S1 edev_S1 sdev_S1 NDVI_S1 LAI_S1 MNDWI_S1 rain_S1 blue_S2 green_S2 red_S2 nir_S2 swir_1_S2 swir_2_S2 red_edge_1_S2 red_edge_2_S2 red_edge_3_S2 bcdev_S2 edev_S2 sdev_S2 NDVI_S2 LAI_S2 MNDWI_S2 rain_S2 slope
1.000000 0.080950 0.100100 0.115900 0.196850 0.280250 0.212900 0.142700 0.174400 0.192300 2.735643 2.549010 5.949648 0.257899 0.446845 -0.472504 423.922852 0.054000 0.078000 0.073600 0.242050 0.218900 0.136900 0.123500 0.205500 0.231400 2.609402 2.426180 4.497348 0.535931 1.078935 -0.476549 742.143188 2.429563
1.000000 0.087000 0.110850 0.137000 0.242800 0.339600 0.241200 0.170850 0.207250 0.230700 3.057253 2.665888 7.154075 0.278826 0.559587 -0.507675 403.897400 0.051350 0.078550 0.076550 0.236350 0.225400 0.137450 0.128650 0.198650 0.222450 3.046422 2.856914 5.406043 0.515380 0.991351 -0.483956 717.920837 4.289846
1.000000 0.083500 0.104000 0.123900 0.215300 0.323600 0.241900 0.155000 0.185100 0.205300 2.982840 2.637458 6.813496 0.264978 0.489743 -0.510578 415.435333 0.045700 0.064900 0.070300 0.202600 0.242500 0.171800 0.105400 0.167600 0.191000 3.565622 3.491224 6.481802 0.476301 0.840154 -0.572323 756.831604 3.773077
1.000000 0.086400 0.109800 0.135600 0.234800 0.345700 0.271600 0.170600 0.204500 0.229100 2.865538 2.625347 6.958848 0.268398 0.523863 -0.516192 416.477203 0.044700 0.067500 0.059700 0.222300 0.194300 0.119500 0.108600 0.188700 0.211700 3.206805 3.098754 5.975179 0.573816 1.051169 -0.484272 751.549255 1.317616
1.000000 0.081950 0.110100 0.115350 0.270600 0.299100 0.198150 0.164300 0.239200 0.268200 2.585461 2.224276 4.721636 0.400284 0.918757 -0.460194 474.378418 0.053150 0.078450 0.076600 0.242000 0.258700 0.173900 0.129000 0.207050 0.231900 2.971591 2.735413 5.153132 0.517131 1.021283 -0.534845 728.828491 2.357023
1.000000 0.081100 0.110300 0.135400 0.249000 0.331600 0.235500 0.173800 0.218100 0.242200 3.311401 2.901313 6.475225 0.299534 0.601697 -0.500453 474.847839 0.047300 0.072700 0.077000 0.216900 0.238600 0.146700 0.121200 0.182500 0.205000 2.910810 2.807024 5.301939 0.475510 0.836737 -0.530051 727.528748 3.584302
1.000000 0.082550 0.107600 0.120650 0.236750 0.292900 0.210050 0.157500 0.210100 0.235350 2.643806 2.288067 4.912499 0.325029 0.665007 -0.462945 475.293457 0.051500 0.073500 0.078700 0.198450 0.235900 0.162400 0.117100 0.172100 0.194050 2.282048 2.118167 4.610958 0.432180 0.721972 -0.524515 728.660217 8.270597
1.000000 0.075000 0.097900 0.115400 0.207800 0.293000 0.232400 0.143300 0.182900 0.203300 2.712684 2.527040 5.197145 0.284456 0.498248 -0.500513 469.883209 0.041700 0.062000 0.057600 0.238800 0.217900 0.120700 0.098000 0.200800 0.232900 3.022244 2.877213 5.643724 0.615697 1.181436 -0.559274 707.493652 5.833333
1.000000 0.069500 0.089400 0.102700 0.205300 0.270300 0.190100 0.137400 0.178500 0.201000 2.637320 2.336889 4.910055 0.326778 0.579584 -0.500000 469.693939 0.046500 0.067700 0.070800 0.210800 0.216800 0.135700 0.108000 0.177400 0.199700 2.784250 2.727259 4.948981 0.502023 0.871291 -0.523575 708.046387 1.863390
1.000000 0.081000 0.104900 0.120100 0.242600 0.294800 0.213200 0.155300 0.214400 0.242400 2.570584 2.232238 4.865345 0.337687 0.697045 -0.475540 475.798187 0.050200 0.071600 0.086000 0.210800 0.253200 0.167500 0.122500 0.168500 0.192700 2.805497 2.701096 5.198146 0.406809 0.678543 -0.555621 726.764038 7.905694
1.000000 0.071050 0.093500 0.112950 0.230900 0.280050 0.176550 0.147400 0.198450 0.225700 2.778704 2.513812 5.478042 0.344259 0.656310 -0.501339 475.037964 0.046050 0.068050 0.075600 0.219150 0.227300 0.139600 0.116200 0.178050 0.204150 2.954557 2.836272 5.433624 0.485503 0.856351 -0.542596 728.786072 7.546154
1.000000 0.077450 0.105200 0.119800 0.257650 0.307950 0.207400 0.163350 0.223650 0.250850 2.753490 2.432808 4.980191 0.364423 0.779901 -0.490874 475.319519 0.059250 0.081200 0.085000 0.235400 0.253800 0.159400 0.128950 0.194700 0.221600 2.451848 2.292321 4.396096 0.469785 0.935405 -0.517753 726.924316 8.436857
1.000000 0.088100 0.107850 0.130300 0.214450 0.320450 0.234150 0.162450 0.189800 0.210550 2.501784 2.301415 6.219874 0.247500 0.466364 -0.494657 442.585815 0.041600 0.063800 0.050500 0.247600 0.192500 0.107500 0.100750 0.209350 0.238750 2.354422 2.072356 5.028291 0.654059 1.326884 -0.505452 758.437012 4.487638
1.000000 0.070000 0.091100 0.108700 0.215400 0.282100 0.195600 0.140700 0.182700 0.206700 2.734562 2.579843 5.696190 0.331495 0.595637 -0.511040 469.758545 0.049900 0.069400 0.062200 0.214700 0.222600 0.143600 0.102000 0.184500 0.209200 3.067636 2.947991 5.482887 0.553243 1.016955 -0.524786 706.314209 5.335937
1.000000 0.077700 0.102800 0.125000 0.236900 0.307300 0.209100 0.159200 0.204000 0.227400 2.845341 2.508609 5.626737 0.306326 0.593535 -0.498180 469.010834 0.054300 0.076300 0.091900 0.199100 0.270200 0.183600 0.124800 0.162300 0.182700 3.355359 3.165779 5.797902 0.362875 0.597486 -0.559541 705.510620 2.124591
