"T","X","Y","datasets","days"
"2019--P1Y", +0170, +0118,    2,    2
"2019--P1Y", +0170, +0119,    2,    2
"2019--P1Y", +0170, +0120,    2,    2
"2019--P1Y", +0171, +0081,    2,    2
"2019--P1Y", +0171, +0082,    2,    2
"2019--P1Y", +0171, +0083,    2,    2
"2019--P1Y", +0171, +0084,    2,    2
"2019--P1Y", +0171, +0085,    2,    2
"2019--P1Y", +0171, +0086,    2,    2
"2019--P1Y", +0171, +0087,    2,    2
"2019--P1Y", +0171, +0088,    2,    2
"2019--P1Y", +0171, +0089,    2,    2
"2019--P1Y", +0171, +0090,    2,    2
"2019--P1Y", +0171, +0091,    2,    2
"2019--P1Y", +0171, +0092,    2,    2
"2019--P1Y", +0171, +0093,    2,    2
"2019--P1Y", +0171, +0094,    2,    2
"2019--P1Y", +0171, +0095,    2,    2
"2019--P1Y", +0171, +0096,    2,    2
"2019--P1Y", +0171, +0097,    2,    2
"2019--P1Y", +0171, +0098,    2,    2
"2019--P1Y", +0171, +0099,    2,    2
"2019--P1Y", +0171, +0100,    2,    2
"2019--P1Y", +0171, +0101,    2,    2
"2019--P1Y", +0171, +0102,    2,    2
"2019--P1Y", +0171, +0103,    2,    2
"2019--P1Y", +0171, +0104,    2,    2
"2019--P1Y", +0171, +0105,    2,    2
"2019--P1Y", +0171, +0106,    2,    2
"2019--P1Y", +0171, +0107,    2,    2
"2019--P1Y", +0171, +0108,    2,    2
"2019--P1Y", +0171, +0109,    2,    2
"2019--P1Y", +0171, +0110,    2,    2
"2019--P1Y", +0171, +0111,    2,    2
"2019--P1Y", +0171, +0112,    2,    2
"2019--P1Y", +0171, +0113,    2,    2
"2019--P1Y", +0171, +0114,    2,    2
"2019--P1Y", +0171, +0115,    2,    2
"2019--P1Y", +0171, +0116,    2,    2
"2019--P1Y", +0171, +0117,    2,    2
"2019--P1Y", +0171, +0118,    2,    2
"2019--P1Y", +0171, +0119,    2,    2
"2019--P1Y", +0171, +0120,    2,    2
"2019--P1Y", +0171, +0121,    2,    2
"2019--P1Y", +0172, +0081,    2,    2
"2019--P1Y", +0172, +0082,    2,    2
"2019--P1Y", +0172, +0083,    2,    2
"2019--P1Y", +0172, +0084,    2,    2
"2019--P1Y", +0172, +0085,    2,    2
"2019--P1Y", +0172, +0086,    2,    2
"2019--P1Y", +0172, +0087,    2,    2
"2019--P1Y", +0172, +0088,    2,    2
"2019--P1Y", +0172, +0089,    2,    2
"2019--P1Y", +0172, +0090,    2,    2
"2019--P1Y", +0172, +0091,    2,    2
"2019--P1Y", +0172, +0092,    2,    2
"2019--P1Y", +0172, +0093,    2,    2
"2019--P1Y", +0172, +0094,    2,    2
"2019--P1Y", +0172, +0095,    2,    2
"2019--P1Y", +0172, +0096,    2,    2
"2019--P1Y", +0172, +0097,    2,    2
"2019--P1Y", +0172, +0098,    2,    2
"2019--P1Y", +0172, +0099,    2,    2
"2019--P1Y", +0172, +0100,    2,    2
"2019--P1Y", +0172, +0101,    2,    2
"2019--P1Y", +0172, +0102,    2,    2
